Virtual User Script started at: 1/6/2021 11:16:34 AM	[MsgId: MMSG-15967]
Action.c(38): Notify: Transaction "T01_HomePage" ended with a "Pass" status (Duration: 4.3904).	[MsgId: MMSG-16873]
Action.c(40): Notify: Transaction "T02_Shop" started.	[MsgId: MMSG-16999]
Action.c(42): Notify: Transaction "T02_Shop" ended with a "Pass" status (Duration: 11.9999).	[MsgId: MMSG-16873]
Action.c(44): Notify: Transaction "T03_Purchase" started.	[MsgId: MMSG-16999]
Action.c(65): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(65): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(66): web_url("some site") started  	[MsgId: MMSG-26355]
Action.c(66): Found resource "http://www.advantageonlineshopping.com.com/js/parking.js?v=1609953644" in HTML "http://www.advantageonlineshopping.com.com/"  	[MsgId: MMSG-26659]
Action.c(66): Error -26366: "Text=xxx qqq yyy" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(66): web_url("some site") highest severity level was "ERROR", 17352 body bytes, 668 header bytes, 32 chunking overhead bytes  	[MsgId: MMSG-26387]
Action.c(66): Notify: Transaction "T03_Purchase" ended with a "Fail" status (Duration: 5.6542 Wasted Time: 0.0001).	[MsgId: MMSG-16871]
Action.c(66): Notify: Transaction "T03_Purchase" has 1 error message(s).	[MsgId: MMSG-16818]
Action.c(66): Notify: The 1st error message associated with transaction "T03_Purchase" is "Error -26366: "Text=xxx qqq yyy" not found for web_reg_find"	[MsgId: MMSG-16819]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 6.	[MsgId: MMSG-15965]
Waiting 29.3830 seconds for iteration pacing.	[MsgId: MMSG-15996]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
